ticker,time,open,high,low,close,volume
SHS,2025-01-02,10.06,10.99,10.06,10.82,3701067
SHS,2025-01-03,10.74,10.91,10.06,10.57,5583633
SHS,2025-01-06,10.57,10.65,10.32,10.32,6299758
SHS,2025-01-07,10.23,10.48,9.3,10.15,4943671
SHS,2025-01-08,10.15,10.23,9.55,10.15,4736814
SHS,2025-01-09,9.13,10.23,9.13,9.98,3652061
SHS,2025-01-10,9.81,10.06,9.13,9.64,7515865
SHS,2025-01-13,8.96,9.81,8.71,9.64,7702756
SHS,2025-01-14,9.55,9.72,9.22,9.47,4381745
SHS,2025-01-15,8.54,9.89,8.54,9.81,8881350
SHS,2025-01-16,9.13,10.4,9.13,10.06,9398989
SHS,2025-01-17,9.98,10.32,9.98,10.32,4890344
SHS,2025-01-20,9.55,10.48,9.55,10.15,6370137
SHS,2025-01-21,10.06,10.74,9.55,10.48,15147082
SHS,2025-01-22,10.48,10.65,10.48,10.48,8846609
SHS,2025-01-23,10.48,10.91,10.4,10.82,10407000
SHS,2025-01-24,9.81,10.91,9.81,10.82,5764540
SHS,2025-02-03,10.65,11.08,10.65,10.91,14638670
SHS,2025-02-04,10.32,11.75,9.89,11.67,25304055
SHS,2025-02-05,11.08,11.75,10.65,11.58,6781706
SHS,2025-02-06,10.48,11.84,10.48,11.58,10602630
SHS,2025-02-07,11.58,11.67,11.33,11.5,13254976
SHS,2025-02-10,11.41,11.58,11.25,11.33,12907207
SHS,2025-02-11,11.25,11.5,11.08,11.41,7797751
SHS,2025-02-12,10.32,11.67,10.32,11.41,6740441
SHS,2025-02-13,10.82,11.5,10.74,11.41,4474482
SHS,2025-02-14,11.41,11.75,11.41,11.58,16039761
SHS,2025-02-17,11.5,12.09,11.5,11.84,16217927
SHS,2025-02-18,11.75,12.09,11.58,12.01,14376506
SHS,2025-02-19,11.92,12.26,11.92,12.09,8307659
SHS,2025-02-20,12.01,12.26,12.01,12.18,7714176
SHS,2025-02-21,12.09,12.18,11.92,12.01,8191228
SHS,2025-02-24,10.82,12.26,10.82,12.26,9737371
SHS,2025-02-25,11.16,12.51,11.16,12.18,12620895
SHS,2025-02-26,12.09,12.34,12.01,12.09,11240493
SHS,2025-02-27,12.18,12.26,11.84,12.09,11784197
SHS,2025-02-28,12.18,12.34,12.01,12.09,8858028
SHS,2025-03-03,12.01,12.09,11.5,11.75,28903276
SHS,2025-03-04,11.58,11.84,11.41,11.67,7515823
SHS,2025-03-05,11.58,11.92,11.58,11.58,7713921
SHS,2025-03-06,11.58,12.09,11.58,12.09,18267608
SHS,2025-03-07,12.09,12.18,12.01,12.18,13382116
SHS,2025-03-10,12.18,12.43,12.09,12.26,11659960
SHS,2025-03-11,11.92,12.34,11.92,12.34,10141323
SHS,2025-03-12,12.34,12.85,12.26,12.68,22982167
SHS,2025-03-13,11.41,12.77,11.41,12.43,12730329
SHS,2025-03-14,12.09,12.94,11.41,12.6,16543031
SHS,2025-03-17,12.51,13.02,12.43,12.68,9882512
SHS,2025-03-18,12.77,12.85,12.51,12.6,9617191
SHS,2025-03-19,12.43,12.6,12.34,12.43,8269741
SHS,2025-03-20,12.43,12.85,12.43,12.6,16352853
SHS,2025-03-21,11.41,12.68,11.41,12.43,7188996
SHS,2025-03-24,12.51,12.77,12.34,12.77,11712245
SHS,2025-03-25,11.5,12.94,11.5,12.68,10391465
SHS,2025-03-26,12.77,12.77,12.34,12.34,13006506
